DATE,CPIAUCSL,PCEPI,CPILFESL,PCEPILFE
1947-01-01,21.48,.,.,.
1947-02-01,21.62,.,.,.
1947-03-01,22.0,.,.,.
1947-04-01,22.0,.,.,.
1947-05-01,21.95,.,.,.
1947-06-01,22.08,.,.,.
1947-07-01,22.23,.,.,.
1947-08-01,22.4,.,.,.
1947-09-01,22.84,.,.,.
1947-10-01,22.91,.,.,.
1947-11-01,23.06,.,.,.
1947-12-01,23.41,.,.,.
1948-01-01,23.68,.,.,.
1948-02-01,23.67,.,.,.
1948-03-01,23.5,.,.,.
1948-04-01,23.82,.,.,.
1948-05-01,24.01,.,.,.
1948-06-01,24.15,.,.,.
1948-07-01,24.4,.,.,.
1948-08-01,24.43,.,.,.
1948-09-01,24.36,.,.,.
1948-10-01,24.31,.,.,.
1948-11-01,24.16,.,.,.
1948-12-01,24.05,.,.,.
1949-01-01,24.01,.,.,.
1949-02-01,23.91,.,.,.
1949-03-01,23.91,.,.,.
1949-04-01,23.92,.,.,.
1949-05-01,23.91,.,.,.
1949-06-01,23.92,.,.,.
1949-07-01,23.7,.,.,.
1949-08-01,23.7,.,.,.
1949-09-01,23.75,.,.,.
1949-10-01,23.67,.,.,.
1949-11-01,23.7,.,.,.
1949-12-01,23.61,.,.,.
